city,lat,lon,max temp,humidity,cloudiness,wind_speed,country,date
parabel,37.46,-122.43,75.99,87,90,13.87,US,1596329797
bombay,-5.79,-35.21,75.2,88,20,6.93,BR,1596329797
okhotsk,65.37,64.67,56.07,90,0,2.8,RU,1596329797
getulio vargas,41.43,-79.71,69.01,94,40,9.17,US,1596329797
atar,41.09,40.73,73.76,69,70,3.42,TR,1596329797
nouakchott,66.83,70.83,57.72,88,33,8.81,RU,1596329798
pangkalanbuun,-25.24,130.99,57.2,26,0,8.05,AU,1596329798
alim,25.02,37.27,87.89,67,0,13.47,SA,1596329798
pudozh,-9.01,-35.22,73.47,88,29,10.51,BR,1596329798
hirosaki,67.67,12.69,57.92,80,1,9.17,NO,1596329799
placido de castro,61.35,16.39,57,98,76,4.47,SE,1596329799
guerrero negro,47.67,-122.12,79,44,0,3,US,1596329706
karasjok,9.36,14.9,71.67,95,100,5.1,TD,1596329799
mosquera,4.64,103.44,78.8,88,40,3.36,MY,1596329800
salalah,-2.92,-39.92,78.19,81,88,14.58,BR,1596329800
tucurui,-41.87,-73.82,48,87,20,13.87,CL,1596329800
burnie,43.72,26.83,73.99,45,93,5.01,BG,1596329800
molina,9.92,-11.45,69.28,97,85,3.24,SL,1596329800
key west,57.55,29.95,47.17,92,94,5.86,RU,1596329801
kalabo,-18.86,-41.12,59.83,94,17,2.53,BR,1596329524
paita,-15.43,-74.62,61.34,60,33,2.46,PE,1596329801
douglas,-15.77,128.73,77,18,0,5.82,AU,1596329801
college,51.23,-58.65,53.49,94,100,0.22,CA,1596329802
kadaya,35.13,140.3,84,74,20,5.82,JP,1596329802
bababe,66.32,-179.17,50.11,65,69,2.51,RU,1596329802
chagda,39.45,-86.18,72,97,76,5.5,US,1596329678
moose factory,63.9,122.76,73.45,41,0,5.37,RU,1596329802
birjand,-19.77,-43.85,64.4,72,99,2.24,BR,1596329803
neiafu,5.56,95.32,81.46,74,99,11.3,ID,1596329803
whitehorse,54.64,83.3,59,100,0,3.38,RU,1596329803
lagoa,60.73,77.59,60.8,100,21,4.47,RU,1596329803
agapovka,-37.83,140.77,50,93,90,5.82,AU,1596329804
evensk,2.67,72.89,82.89,78,100,12.28,MV,1596329804
lakes entrance,-3.48,23.43,78.28,48,96,0.94,CD,1596329805
madang,26.77,31.5,86,23,0,10.29,EG,1596329805
idrinskoye,49.14,56.49,75.43,23,0,7.92,KZ,1596329805
half moon bay,12.58,-81.7,84.2,79,20,2.24,CO,1596329805
natal,38.93,100.45,74.88,17,100,6.67,CN,1596329805
muzhi,42.03,-8.16,64.99,72,1,8.05,PT,1596329806
oil city,33.73,135.98,80.6,83,75,4.7,JP,1596329806
cayeli,-23.53,148.17,68,49,0,13.87,AU,1596329806
yar-sale,60.47,166.1,61.65,55,16,8.25,RU,1596329806
yulara,56.12,101.16,59,87,75,11.18,RU,1596329807
umm lajj,46.49,135.88,78.51,59,0,5.61,RU,1596329807
maragogi,-28.77,114.6,50,87,0,11.41,AU,1596329648
sorland,63.66,9.57,62.01,100,40,11.41,NO,1596329807
bollnas,36.96,45.39,67.57,30,0,3.31,IR,1596329808
redmond,54.77,-101.86,74.3,43,29,2.42,CA,1596329808
pala,34.53,-82.65,89.6,46,1,8.05,US,1596329808
paka,43.48,-8.24,64,88,90,3.36,ES,1596329808
itarema,13.17,44.58,83.84,58,0,4.12,YE,1596329808
ancud,21.12,70.12,83.62,84,37,5.73,IN,1596329809
isperih,9.25,118.41,83.21,75,100,4.63,PH,1596329809
bindi,68.12,13.5,56.1,81,79,5.19,NO,1596329809
dedovichi,63.87,11.3,62.01,93,0,4.7,NO,1596329810
mantenopolis,63.7,11.2,61,93,5,4.7,NO,1596329810
acari,-3.03,-60.18,82.4,78,100,1.48,BR,1596329810
kununurra,-30.65,153,64.99,63,0,6.93,AU,1596329810
saint-augustin,36.25,-121.25,90,60,1,13.87,US,1596329650
katsuura,5.67,73,82.87,77,100,14.12,MV,1596329811
egvekinot,71,24.66,48.2,81,100,10.29,NO,1596329802
bud,50.36,15.92,64.99,70,47,2.51,CZ,1596329811
kysyl-syr,-8.1,156.84,82.74,72,12,3,SB,1596329811
santa luzia,45.63,85.18,81.73,21,25,6.91,CN,1596329812
banda aceh,-22.95,30.48,54.39,68,0,2.71,ZA,1596329812
iskitim,-11.94,-38.08,66.29,98,6,4.52,BR,1596329812
strezhevoy,-3.67,-45.38,76.35,67,11,2.06,BR,1596329813
hunza,-26.41,-49.07,61,92,6,0.43,BR,1596329813
mount gambier,53.97,121.97,61.45,94,100,7.27,RU,1596329813
kudahuvadhoo,42.12,118.78,84.04,49,89,9.31,CN,1596329813
lodja,29.27,82.18,63.75,67,64,0.69,NP,1596329814
tahta,36.56,104.21,66.2,42,0,4.47,CN,1596329814
shubarkuduk,-32.5,137.77,59,44,0,4.7,AU,1596329815
san andres,12.22,8.53,75.2,88,100,6.93,NG,1596329815
zhangye,16.13,119.78,78.31,85,100,9.08,PH,1596329815
vila,32,-102.08,95,20,40,8.05,US,1596329815
shingu,41.14,-73.36,80.6,69,1,9.17,US,1596329815
emerald,-12.58,13.41,67.57,84,0,4.5,AO,1596329816
tilichiki,-36.72,-73.12,53.6,93,40,3.36,CL,1596329816
vikhorevka,55.28,-114.77,82.4,45,1,23.04,CA,1596329816
vostok,-6.42,20.8,81.03,35,98,2.84,CD,1596329817
geraldton,54.34,80.48,63.72,82,68,2.89,RU,1596329817
beian,18.12,82.08,76.82,87,50,1.61,IN,1596329817
naqadeh,-6.21,155.54,86.83,60,49,4.07,PG,1596329817
flin flon,-17.78,-57.77,75.76,38,0,2.84,BO,1596329801
anderson,49.63,-105.98,78.21,31,0,6.22,CA,1596329818
ferrol,27.92,96.17,83.21,68,26,1.36,IN,1596329818
lahij,46.42,3.91,73.4,69,67,5.82,FR,1596329818
mangrol,-19.11,-51.73,68.86,46,0,3.76,BR,1596329819
panacan,66.56,67.8,56.17,93,100,1.7,RU,1596329819
barawe,-28.47,-65.79,65.26,31,0,7.65,AR,1596329819
gravdal,-6.22,-57.75,76.06,46,8,1.54,BR,1596329819
straumen,39.64,141.95,75.45,75,100,9.86,JP,1596329820
skogn,39.93,64.38,66.2,59,0,4.7,UZ,1596329820
livramento,54.08,53.67,65.39,52,100,12.01,RU,1596329820
nambucca heads,6.88,73.1,82.94,78,100,14.65,MV,1596329821
monterey,-5.25,14.87,67.1,84,97,9.37,CD,1596329772
ugoofaaru,-10.83,39.6,63.27,96,3,3.85,TZ,1596329821
havoysund,3.28,32.89,63.99,91,84,3.06,UG,1596329822
jaromer,-15.86,-38.88,68,94,75,5.82,BR,1596329823
gizo,46.84,74.98,73.63,46,83,20.45,KZ,1596329823
tawkar,-34.67,-54.92,54,93,100,8.05,UY,1596329823
baijiantan,67.67,53.09,52.39,94,85,4.21,RU,1596329823
thohoyandou,-22,148.05,67.33,56,31,18.05,AU,1596329824
entre rios,-0.72,8.78,74.34,80,100,10.56,GA,1596329824
santa ines,-10.4,40.33,70.16,90,11,10.78,TZ,1596329824
schroeder,23.83,84.12,80.98,78,37,2.57,IN,1596329824
yerofey pavlovich,40.79,-73.42,80.6,65,1,8.05,US,1596329825
mujiayingzi,4.88,-1.76,73.74,85,48,9.46,GH,1596329825
jumla,6.5,2.6,77,88,40,12.75,BJ,1596329582
baiyin,1.05,101.28,77,88,20,3.18,ID,1596329825
warqla,-6.13,12.37,72.39,83,93,7.25,AO,1596329825
port augusta,8.08,-10.77,70.56,98,100,2.8,SL,1596329826
kunya,-1.27,116.83,77,100,40,2.24,ID,1596329826
aloleng,13.3,19.7,77.47,82,100,13.33,TD,1596329826
midland,53.05,158.65,71.6,43,70,2.24,RU,1596329827
westport,-17.65,-62.75,73.4,64,1,5.82,BO,1596329827
benguela,42.8,93.45,80.31,16,1,3.6,CN,1596329827
talcahuano,39.92,21.8,71.6,49,0,11.41,GR,1596329827
slave lake,4.62,21.89,70.52,94,100,1.7,CF,1596329828
karauzyak,36.37,30.29,84.04,41,0,3.56,TR,1596329827
tshikapa,-28.55,16.43,66.47,27,0,4.56,NA,1596329785
kochki,29.58,-9.5,78.15,42,0,2.53,MA,1596329828
chitrakonda,21.37,-102.85,78.8,34,40,9.17,MX,1596329828
arawa,55.2,80.28,63.86,86,18,4.63,RU,1596329829
puerto quijarro,46.52,-84.33,77,57,75,3.36,CA,1596329797
assiniboia,2.02,112.93,83.46,68,54,0.96,MY,1596329829
tezu,48.28,46.17,61.39,78,93,5.99,RU,1596329829
saint-francois,43.87,-116.5,99,14,100,5.99,US,1596329808
cassilandia,7.42,81.82,79.86,74,62,7.96,LK,1596329830
aksarka,21.65,74.7,79.41,84,10,8.05,IN,1596329830
catamarca,36.96,36.2,81,86,54,1.21,TR,1596329830
jacareacanga,16.78,94.73,83.1,80,4,12.21,MM,1596329831
aflu,72.79,-56.15,42.46,69,0,13.44,GL,1596329782
miyako,69.41,86.18,60.8,77,100,8.95,RU,1596329831
tasbuget,21.32,-158.01,87.8,51,75,5.82,US,1596329622
romitan,-6.88,112.21,78.89,71,0,9.1,ID,1596329832
yermekeyevo,-20.21,57.76,71.6,73,75,16.11,MU,1596329832
dhidhdhoo,18.46,-69.3,84,88,75,9.17,DO,1596329807
mbanza-ngungu,33.24,-86.82,81,78,1,3.36,US,1596329701
namikupa,44.25,-116.97,102.2,16,1,5.82,US,1596329833
kitgum,35.17,-103.72,91.4,21,1,12.75,US,1596329833
belmonte,32.32,121.19,84.51,77,41,13,CN,1596329833
balkhash,-4.87,-44.71,80.51,52,52,3.67,BR,1596329834
maldonado,61.88,9.1,58.57,75,100,5.23,NO,1596329834
naryan-mar,61.38,152.75,62.78,42,15,9.04,RU,1596329834
moranbah,-28.78,32.04,60.67,88,0,2.24,ZA,1596329834
port-gentil,45.67,-118.79,91.99,13,1,10.29,US,1596329834
madimba,-4.88,-66.9,75.74,64,100,0.76,BR,1596329835
barwadih,21.85,111.97,81.52,87,100,10,CN,1596329835
melville,3.17,-52.32,73.74,96,100,2.48,GF,1596329835
takoradi,-38.55,-58.74,48.99,83,100,11.01,AR,1596329836
porto novo,45.49,42.14,62.6,93,3,4.47,RU,1596329836
balaipungut,56.26,83.97,61.79,90,0,2.64,RU,1596329836
soyo,22.57,59.53,83.48,72,0,9.37,OM,1596329836
fabianhaza,32.47,14.57,78.53,56,0,4.52,LY,1596329836
laa,-41.41,175.52,61,58,100,5.82,NZ,1596329837
balikpapan,37.57,-122.38,75.99,63,20,18.34,US,1596329837
oum hadjer,18.74,7.39,88.59,44,12,4.25,NE,1596329837
petropavlovsk-kamchatskiy,7.97,3.6,68.63,97,84,4.76,NG,1596329645
pailon,11.03,-63.86,84.2,79,99,2.24,VE,1596329838
